property_id,type,city,district,area_m2,bedrooms,listed_price_usd,status,listed_date
R001,Apartment,Erbil,Ankawa,120,3,185000,for_sale,2024-01-05
R002,Villa,Erbil,Gulan Street,380,5,650000,for_sale,2024-01-18
R003,Apartment,Sulaymaniyah,Salim Street,95,2,120000,for_rent,2024-02-02
R004,Office,Erbil,Citadel Area,200,0,280000,for_sale,2024-01-30
R005,House,Duhok,Zawita Road,210,4,175000,for_sale,2024-02-10
R006,Apartment,Sulaymaniyah,Italian Village,145,3,195000,for_sale,2024-01-22
R007,Shop,Zakho,City Centre,60,0,55000,for_rent,2024-02-15
R008,Villa,Erbil,Dream City,480,6,920000,for_sale,2024-01-10
R009,Apartment,Halabja,Bazaar Area,105,3,85000,for_sale,2024-03-01
R010,Land,Duhok,Industrial Zone,1200,0,210000,for_sale,2024-02-20
R011,Office,Sulaymaniyah,Bakhtiary,180,0,240000,for_sale,2024-01-28
R012,Apartment,Erbil,Ainkawa,135,3,170000,for_rent,2024-03-05
R013,House,Zakho,Bekhma Road,185,4,130000,for_sale,2024-02-08
R014,Shop,Erbil,Empire World,85,0,95000,for_sale,2024-01-15
R015,Villa,Sulaymaniyah,Raparin,420,5,780000,for_sale,2024-02-25
R016,Apartment,Duhok,Gir Area,110,2,105000,for_sale,2024-03-10
R017,Office,Erbil,Erbil Tower,260,0,380000,for_rent,2024-01-25
R018,Apartment,Halabja,Shahid Area,90,2,72000,for_sale,2024-02-12
R019,House,Sulaymaniyah,Sarchinar,240,4,220000,for_sale,2024-03-08
R020,Land,Erbil,North Ring Road,2500,0,550000,for_sale,2024-01-20
R021,Land,Duhok,Zawita Road,1105,0,20840,for_rent,2024-08-11
R022,House,Halabja,Khurmal,181,3,319465,for_sale,2025-03-13
R023,Shop,Zakho,Mishko,98,0,1728,for_rent,2024-04-20
R024,Office,Halabja,Khurmal,206,0,3996,for_rent,2024-05-31
R025,House,Sulaymaniyah,Tanjaro,318,5,2737,for_rent,2025-05-24
R026,Apartment,Erbil,Empire World,129,3,224460,for_sale,2025-01-13
R027,Office,Erbil,Empire World,252,0,438984,for_sale,2025-07-05
R028,Villa,Zakho,Mishko,281,6,397334,for_sale,2024-07-28
R029,House,Halabja,Bazaar Area,219,4,4334,for_rent,2025-08-16
R030,Office,Zakho,Khabat,239,0,3613,for_rent,2024-02-03
R031,Apartment,Duhok,KRO Road,169,4,1715,for_rent,2025-03-17
R032,Villa,Zakho,City Centre,481,6,814333,for_sale,2025-02-08
R033,Apartment,Duhok,Zawita Road,149,2,185058,for_sale,2024-10-05
R034,Land,Erbil,Ankawa,926,0,725984,for_sale,2025-08-24
R035,House,Sulaymaniyah,Bakhtiary,319,4,201289,for_sale,2024-11-07
R036,House,Zakho,Darkar,185,3,274910,for_sale,2024-07-11
R037,Apartment,Halabja,Sirwan,102,3,1101,for_rent,2025-01-26
R038,Villa,Sulaymaniyah,Raparin,375,4,6183,for_rent,2024-02-24
R039,Villa,Halabja,Khurmal,295,7,6333,for_rent,2024-02-12
R040,House,Sulaymaniyah,Raparin,284,3,307572,for_sale,2025-12-26
R041,Land,Erbil,North Ring Road,2862,0,1969056,for_sale,2025-11-17
R042,Office,Erbil,Koya Road,164,0,2368,for_rent,2024-04-26
R043,Land,Erbil,Koya Road,3863,0,9193940,for_sale,2025-07-24
R044,Office,Sulaymaniyah,Tasluja,83,0,1179,for_rent,2024-11-20
R045,House,Sulaymaniyah,Italian Village,209,4,4014,for_rent,2025-06-19
R046,Villa,Zakho,Mishko,539,5,13377,for_rent,2024-05-27
R047,Villa,Erbil,Ankawa,493,6,853383,for_sale,2025-11-01
R048,Shop,Sulaymaniyah,Raparin,96,0,1689,for_rent,2025-09-21
R049,Villa,Duhok,Bajel,577,5,1374991,for_sale,2024-07-07
R050,Office,Zakho,Rizgary,106,0,1780,for_rent,2025-02-04
R051,Shop,Halabja,Memorial District,101,0,2002,for_rent,2024-07-05
R052,Apartment,Erbil,Gulan Street,70,3,1201,for_rent,2024-01-05
R053,House,Zakho,Mahabad,166,2,2380,for_rent,2025-09-22
R054,Apartment,Halabja,New Halabja,87,1,166605,for_sale,2024-04-18
R055,Villa,Erbil,Erbil Tower,499,7,10848,for_rent,2024-11-30
R056,Apartment,Duhok,Zawita Road,89,1,82325,for_sale,2024-07-04
R057,House,Sulaymaniyah,Malik Mahmood,239,3,2593,for_rent,2024-06-13
R058,Villa,Erbil,Ainkawa,405,7,3345,for_rent,2025-08-16
R059,Shop,Sulaymaniyah,Sarchinar,104,0,2382,for_rent,2024-03-17
R060,Office,Duhok,Bajel,298,0,6132,for_rent,2025-12-28
R061,House,Sulaymaniyah,Azadi,270,5,4576,for_rent,2025-11-10
R062,Land,Duhok,Malta,2596,0,58773,for_rent,2024-02-23
R063,Office,Zakho,Bekhma Road,291,0,1850,for_rent,2025-01-18
R064,Land,Halabja,New Halabja,1990,0,10049,for_rent,2024-06-18
R065,House,Zakho,City Centre,267,5,5922,for_rent,2025-12-10
R066,Villa,Zakho,Kashan,610,4,1257820,for_sale,2024-12-04
R067,Land,Erbil,Gulan Street,1670,0,1210750,for_sale,2024-08-17
R068,Apartment,Halabja,Memorial District,92,4,918,for_rent,2024-04-08
R069,Shop,Duhok,Gir Area,110,0,2059,for_rent,2024-05-14
R070,House,Halabja,Khurmal,283,4,4720,for_rent,2025-10-04
R071,Land,Halabja,Memorial District,1723,0,4192059,for_sale,2025-10-22
R072,Land,Halabja,Sirwan,3083,0,20409,for_rent,2024-01-08
R073,Land,Halabja,Khurmal,3033,0,61994,for_rent,2025-04-13
R074,Apartment,Sulaymaniyah,Salim Street,85,4,97240,for_sale,2024-10-15
R075,Shop,Duhok,Industrial Zone,109,0,2552,for_rent,2024-03-04
R076,Land,Erbil,Empire World,1151,0,27221,for_rent,2025-01-01
R077,Land,Halabja,Kani Ashqan,967,0,1821828,for_sale,2024-10-28
R078,Shop,Erbil,Erbil Tower,71,0,156626,for_sale,2025-07-14
R079,Villa,Zakho,Mahabad,418,4,600666,for_sale,2025-04-03
R080,Apartment,Zakho,Khabat,177,1,3012,for_rent,2024-04-25
R081,House,Sulaymaniyah,Italian Village,183,4,2931,for_rent,2025-05-11
R082,Land,Zakho,Mahabad,2003,0,4366540,for_sale,2025-02-01
R083,Land,Halabja,Kani Ashqan,3930,0,8811060,for_sale,2025-10-22
R084,Office,Sulaymaniyah,Bakhtiary,85,0,104125,for_sale,2025-11-04
R085,Apartment,Sulaymaniyah,Sarchinar,149,4,1370,for_rent,2025-09-07
R086,Villa,Duhok,Bajel,427,6,425719,for_sale,2025-04-29
R087,Office,Halabja,Sarchnar,344,0,256280,for_sale,2024-08-27
R088,Shop,Zakho,New Zakho,55,0,539,for_rent,2024-10-09
R089,Land,Erbil,Erbil Tower,892,0,13647,for_rent,2025-09-08
R090,Villa,Zakho,City Centre,631,4,538243,for_sale,2025-06-03
R091,Villa,Sulaymaniyah,Tanjaro,406,6,6309,for_rent,2024-04-10
R092,House,Zakho,New Zakho,261,4,138330,for_sale,2025-06-07
R093,Villa,Duhok,KRO Road,390,5,589680,for_sale,2025-11-23
R094,Villa,Duhok,Shindokha,267,5,405573,for_sale,2024-08-16
R095,House,Sulaymaniyah,Italian Village,199,2,4485,for_rent,2025-09-19
R096,Shop,Zakho,Rizgary,81,0,55809,for_sale,2025-04-07
R097,Land,Erbil,Gulan Street,860,0,1879960,for_sale,2024-10-01
R098,Office,Erbil,Dream City,273,0,5096,for_rent,2025-02-02
R099,Shop,Sulaymaniyah,Raparin,72,0,51408,for_sale,2024-10-04
R100,Shop,Duhok,Nizarke,33,0,71907,for_sale,2024-03-25
R101,House,Halabja,Central Park,291,3,3209,for_rent,2024-05-30
R102,House,Erbil,Empire World,218,5,362970,for_sale,2025-08-23
R103,House,Erbil,Empire World,223,5,3329,for_rent,2025-06-13
R104,House,Erbil,Ankawa,180,5,4086,for_rent,2025-07-27
R105,Villa,Halabja,Khurmal,378,5,915894,for_sale,2024-04-10
R106,Office,Sulaymaniyah,Raparin,335,0,589600,for_sale,2025-05-14
R107,Office,Zakho,Khabat,142,0,118428,for_sale,2024-04-28
R108,House,Sulaymaniyah,Italian Village,192,3,2826,for_rent,2024-07-03
R109,Office,Sulaymaniyah,Raparin,232,0,2800,for_rent,2025-05-03
R110,Land,Erbil,Erbil Tower,2740,0,66335,for_rent,2024-08-02
R111,House,Sulaymaniyah,Malik Mahmood,140,4,347900,for_sale,2024-08-19
R112,Apartment,Sulaymaniyah,Bakhtiary,137,1,324279,for_sale,2025-09-08
R113,House,Halabja,New Halabja,170,3,228310,for_sale,2024-07-13
R114,Land,Sulaymaniyah,Raparin,1070,0,9630,for_rent,2024-10-17
R115,Land,Halabja,Bazaar Area,2861,0,3012633,for_sale,2025-08-01
R116,Villa,Sulaymaniyah,Bakhtiary,325,4,3120,for_rent,2025-01-20
R117,Villa,Sulaymaniyah,Tanjaro,400,5,5932,for_rent,2024-09-01
R118,Land,Halabja,Khurmal,984,0,14907,for_rent,2025-07-06
R119,Office,Halabja,Kani Ashqan,155,0,258075,for_sale,2025-11-05
R120,Office,Sulaymaniyah,Salim Street,228,0,1963,for_rent,2025-03-27
R121,Shop,Zakho,Bekhma Road,48,0,32352,for_sale,2025-08-02
R122,Office,Zakho,City Centre,134,0,3013,for_rent,2024-04-19
R123,Apartment,Halabja,Shahid Area,76,2,471,for_rent,2025-11-12
R124,Villa,Sulaymaniyah,Malik Mahmood,449,4,422509,for_sale,2025-02-24
R125,House,Halabja,Memorial District,201,2,4305,for_rent,2025-05-29
R126,Office,Erbil,Gulan Street,134,0,213998,for_sale,2024-07-15
R127,Villa,Zakho,New Zakho,492,4,298644,for_sale,2025-01-24
R128,Villa,Sulaymaniyah,Italian Village,262,6,2166,for_rent,2025-08-12
R129,House,Sulaymaniyah,Azadi,226,5,250408,for_sale,2024-12-28
R130,Apartment,Halabja,New Halabja,96,3,792,for_rent,2025-03-23
R131,Office,Zakho,Bekhma Road,165,0,2141,for_rent,2025-05-19
R132,Land,Duhok,Masike,3378,0,81882,for_rent,2024-05-26
R133,Land,Duhok,Masike,2746,0,28366,for_rent,2025-01-10
R134,Shop,Duhok,Nizarke,64,0,428,for_rent,2025-11-01
R135,Apartment,Zakho,City Centre,158,4,217408,for_sale,2024-05-05
R136,Office,Duhok,Malta,269,0,559789,for_sale,2024-10-13
R137,House,Sulaymaniyah,Tanjaro,228,5,442548,for_sale,2025-03-01
R138,Apartment,Halabja,Memorial District,137,3,1416,for_rent,2024-09-26
R139,Office,Halabja,Sirwan,309,0,3188,for_rent,2024-12-23
R140,Villa,Duhok,Bajel,547,5,7253,for_rent,2024-09-18
R141,Office,Halabja,Bakrajo,111,0,1742,for_rent,2025-05-07
R142,House,Sulaymaniyah,Bakhtiary,270,5,3412,for_rent,2024-04-20
R143,Villa,Halabja,Central Park,331,7,312133,for_sale,2024-04-18
R144,Apartment,Erbil,Koya Road,162,4,346842,for_sale,2025-05-12
R145,Office,Duhok,Gir Area,172,0,218440,for_sale,2024-08-14
R146,Apartment,Erbil,Ankawa,106,4,195782,for_sale,2024-08-04
R147,Office,Zakho,Darkar,278,0,226292,for_sale,2025-08-28
R148,Apartment,Duhok,KRO Road,79,1,139593,for_sale,2024-04-13
R149,House,Halabja,Shahid Area,291,5,724008,for_sale,2025-03-02
R150,Villa,Halabja,Bakrajo,426,4,227058,for_sale,2025-10-14
R151,Land,Halabja,Shahid Area,306,0,1872,for_rent,2025-06-09
R152,Villa,Sulaymaniyah,Tanjaro,572,4,289432,for_sale,2024-12-12
R153,Office,Sulaymaniyah,Italian Village,111,0,264402,for_sale,2024-05-23
R154,Land,Sulaymaniyah,Tasluja,3694,0,8455566,for_sale,2024-02-12
R155,Apartment,Duhok,Nizarke,178,1,3536,for_rent,2024-04-24
R156,Office,Erbil,Ainkawa,345,0,200445,for_sale,2024-10-15
R157,House,Halabja,Bakrajo,248,4,412176,for_sale,2024-09-20
R158,Shop,Sulaymaniyah,Bakhtiary,45,0,359,for_rent,2024-03-05
R159,Apartment,Zakho,New Zakho,170,4,423300,for_sale,2025-12-24
R160,Land,Duhok,Malta,3547,0,8424125,for_sale,2024-09-26
R161,Apartment,Halabja,New Halabja,112,3,884,for_rent,2025-10-28
R162,Office,Sulaymaniyah,Azadi,171,0,3057,for_rent,2024-10-21
R163,Office,Halabja,Bakrajo,179,0,95586,for_sale,2024-04-02
R164,Shop,Sulaymaniyah,Malik Mahmood,60,0,852,for_rent,2025-04-18
R165,House,Duhok,Industrial Zone,185,3,108965,for_sale,2025-09-18
R166,Villa,Zakho,New Zakho,607,7,3423,for_rent,2025-12-27
R167,Office,Halabja,Central Park,115,0,2440,for_rent,2024-05-05
R168,House,Zakho,Kashan,223,5,3251,for_rent,2024-04-30
R169,Land,Sulaymaniyah,Goizha,1109,0,9337,for_rent,2025-05-29
R170,Villa,Halabja,Memorial District,339,7,8363,for_rent,2024-09-20
R171,Land,Halabja,New Halabja,3455,0,47575,for_rent,2024-12-16
R172,Land,Duhok,Industrial Zone,2934,0,6572160,for_sale,2024-08-27
R173,Office,Zakho,Darkar,230,0,375820,for_sale,2024-06-25
R174,Villa,Sulaymaniyah,Tanjaro,406,7,846510,for_sale,2025-09-05
R175,House,Zakho,Batifa Road,311,3,227341,for_sale,2024-08-26
R176,Land,Zakho,City Centre,3052,0,45352,for_rent,2024-04-11
R177,Apartment,Duhok,Shindokha,84,4,102816,for_sale,2025-09-16
R178,Villa,Duhok,Shindokha,287,6,364490,for_sale,2025-09-06
R179,Land,Zakho,Mahabad,3385,0,2528595,for_sale,2024-03-06
R180,Land,Erbil,Dream City,2939,0,32417,for_rent,2024-01-16
R181,Villa,Erbil,Erbil Tower,499,6,3987,for_rent,2025-10-20
R182,Land,Zakho,New Zakho,1867,0,4505071,for_sale,2025-02-07
R183,Office,Zakho,City Centre,131,0,86722,for_sale,2025-04-14
R184,Villa,Duhok,Industrial Zone,555,6,10972,for_rent,2024-05-17
R185,Villa,Halabja,Kani Ashqan,442,6,975494,for_sale,2024-03-05
R186,Office,Zakho,Darkar,240,0,294720,for_sale,2024-10-18
R187,House,Zakho,Khabat,289,5,530026,for_sale,2024-12-07
R188,Office,Halabja,Memorial District,171,0,2045,for_rent,2025-12-09
R189,Apartment,Duhok,Gir Area,163,1,1209,for_rent,2025-04-29
R190,Shop,Zakho,Mahabad,102,0,201654,for_sale,2025-03-26
R191,Shop,Halabja,Khurmal,106,0,104410,for_sale,2024-12-12
R192,Land,Sulaymaniyah,Raparin,1718,0,41730,for_rent,2025-09-01
R193,Land,Duhok,KRO Road,1144,0,25454,for_rent,2025-11-15
R194,Apartment,Sulaymaniyah,Bakhtiary,92,4,63848,for_sale,2024-03-05
R195,House,Zakho,Mishko,200,3,4408,for_rent,2025-10-09
R196,Apartment,Sulaymaniyah,Goizha,113,3,726,for_rent,2024-03-11
R197,House,Sulaymaniyah,Italian Village,195,4,3123,for_rent,2024-12-04
R198,Villa,Zakho,New Zakho,497,4,1029287,for_sale,2024-01-01
R199,Shop,Halabja,Central Park,101,0,188365,for_sale,2025-05-07
R200,Apartment,Duhok,Nizarke,110,4,1395,for_rent,2025-08-30
R201,Land,Erbil,Empire World,2421,0,40115,for_rent,2024-10-25
R202,Office,Erbil,Citadel Area,185,0,125430,for_sale,2025-01-25
R203,House,Halabja,Bakrajo,183,2,372588,for_sale,2024-09-12
R204,Villa,Sulaymaniyah,Raparin,439,7,3033,for_rent,2025-12-12
R205,Office,Erbil,Empire World,343,0,5302,for_rent,2025-11-28
R206,House,Duhok,Industrial Zone,147,5,2146,for_rent,2024-05-04
R207,Office,Duhok,Shindokha,131,0,173182,for_sale,2024-07-24
R208,House,Sulaymaniyah,Tanjaro,320,4,6105,for_rent,2025-01-23
R209,Apartment,Zakho,Rizgary,128,4,309376,for_sale,2025-08-12
R210,Apartment,Duhok,Shindokha,135,4,3051,for_rent,2024-05-19
R211,House,Zakho,Rizgary,167,4,277888,for_sale,2025-06-16
R212,Shop,Duhok,Gir Area,36,0,83016,for_sale,2025-07-19
R213,Apartment,Sulaymaniyah,Tasluja,135,1,899,for_rent,2024-04-07
R214,Shop,Halabja,Khurmal,108,0,2475,for_rent,2024-05-11
R215,Office,Erbil,North Ring Road,348,0,4993,for_rent,2024-01-09
R216,Shop,Erbil,Gulan Street,117,0,2379,for_rent,2024-05-09
R217,Villa,Zakho,Rizgary,555,5,12687,for_rent,2024-12-11
R218,Office,Erbil,Empire World,185,0,4336,for_rent,2025-08-06
R219,Apartment,Sulaymaniyah,Goizha,100,2,245000,for_sale,2025-03-09
R220,Apartment,Duhok,Nizarke,81,4,760,for_rent,2024-04-22
R221,Villa,Zakho,Batifa Road,298,7,678844,for_sale,2024-10-21
R222,Villa,Erbil,North Ring Road,420,4,7194,for_rent,2025-10-11
R223,Office,Halabja,New Halabja,231,0,2594,for_rent,2025-07-05
R224,Apartment,Sulaymaniyah,Goizha,135,2,3323,for_rent,2024-10-13
R225,House,Erbil,North Ring Road,156,4,252252,for_sale,2024-11-26
R226,Shop,Zakho,Kashan,99,0,1089,for_rent,2025-05-18
R227,Villa,Erbil,Citadel Area,294,6,402192,for_sale,2025-04-14
R228,Shop,Sulaymaniyah,Malik Mahmood,83,0,1037,for_rent,2024-06-09
R229,Office,Erbil,North Ring Road,105,0,98490,for_sale,2025-03-27
R230,Office,Zakho,Mishko,97,0,887,for_rent,2025-04-25
R231,Land,Erbil,Ankawa,3186,0,7477542,for_sale,2024-08-11
R232,Apartment,Duhok,Masike,149,4,284143,for_sale,2024-02-24
R233,Apartment,Sulaymaniyah,Tanjaro,155,4,2281,for_rent,2025-06-04
R234,Land,Zakho,Darkar,2397,0,29147,for_rent,2025-10-02
R235,Shop,Zakho,Mishko,40,0,915,for_rent,2024-03-29
R236,Shop,Zakho,Rizgary,112,0,269472,for_sale,2025-08-26
R237,Villa,Sulaymaniyah,Tanjaro,617,5,8039,for_rent,2025-03-11
R238,Land,Halabja,Sirwan,372,0,360096,for_sale,2025-01-29
R239,Apartment,Duhok,KRO Road,152,1,88160,for_sale,2025-02-20
R240,Apartment,Duhok,Shindokha,173,3,1051,for_rent,2025-12-30
R241,Office,Halabja,Khurmal,95,0,194370,for_sale,2025-05-04
R242,House,Erbil,Kasnazan,192,2,369024,for_sale,2025-04-04
R243,Office,Zakho,Bekhma Road,180,0,2388,for_rent,2024-10-14
R244,Apartment,Sulaymaniyah,Salim Street,114,3,98610,for_sale,2024-02-02
R245,House,Halabja,Sarchnar,219,2,1237,for_rent,2025-02-18
R246,Villa,Duhok,KRO Road,501,5,550098,for_sale,2024-05-06
R247,Shop,Halabja,New Halabja,91,0,1583,for_rent,2024-05-24
R248,Villa,Halabja,Shahid Area,267,5,6218,for_rent,2025-05-06
R249,Apartment,Duhok,Industrial Zone,163,2,302528,for_sale,2025-08-23
R250,Apartment,Zakho,Khabat,149,4,1025,for_rent,2024-12-25
R251,Apartment,Zakho,Kashan,124,2,2388,for_rent,2025-04-18
R252,Land,Erbil,Kasnazan,2719,0,6115031,for_sale,2024-03-29
R253,Office,Zakho,City Centre,80,0,1443,for_rent,2024-01-02
R254,Villa,Sulaymaniyah,Tanjaro,474,6,666444,for_sale,2024-10-24
R255,Apartment,Sulaymaniyah,Azadi,159,1,3719,for_rent,2025-07-31
R256,Land,Duhok,Bajel,2944,0,50931,for_rent,2025-05-13
R257,Shop,Duhok,Baroshke,30,0,25230,for_sale,2025-07-20
R258,Shop,Zakho,Kashan,90,0,2237,for_rent,2025-06-28
R259,House,Duhok,Shindokha,320,4,3484,for_rent,2024-01-19
R260,Apartment,Halabja,Sirwan,98,3,76636,for_sale,2025-03-07
R261,House,Zakho,Bekhma Road,317,4,3090,for_rent,2024-10-20
R262,Villa,Halabja,Sarchnar,467,7,2353,for_rent,2025-07-22
R263,Land,Sulaymaniyah,Azadi,500,0,511000,for_sale,2025-06-22
R264,Land,Halabja,Khurmal,2183,0,3763492,for_sale,2025-02-02
R265,Office,Halabja,Kani Ashqan,194,0,194582,for_sale,2024-07-19
R266,Shop,Sulaymaniyah,Tasluja,56,0,878,for_rent,2025-06-26
R267,House,Sulaymaniyah,Italian Village,254,5,2207,for_rent,2024-09-12
R268,Apartment,Duhok,Nizarke,132,4,96756,for_sale,2025-09-10
R269,Apartment,Halabja,Khurmal,118,2,202606,for_sale,2024-12-25
R270,Shop,Erbil,Koya Road,82,0,720,for_rent,2024-03-31
R271,Office,Erbil,Erbil Tower,307,0,7579,for_rent,2025-11-17
R272,Land,Sulaymaniyah,Tasluja,485,0,8899,for_rent,2025-03-24
R273,Office,Duhok,KRO Road,196,0,1844,for_rent,2024-10-14
R274,Land,Erbil,Dream City,780,0,1522560,for_sale,2024-09-04
R275,House,Sulaymaniyah,Tanjaro,260,4,456820,for_sale,2025-02-22
R276,Apartment,Zakho,Kashan,97,2,100977,for_sale,2025-02-16
R277,Shop,Sulaymaniyah,Salim Street,80,0,456,for_rent,2025-04-21
R278,Shop,Sulaymaniyah,Salim Street,95,0,1495,for_rent,2024-01-28
R279,Shop,Halabja,New Halabja,85,0,178925,for_sale,2025-10-22
R280,Land,Duhok,KRO Road,417,0,6380,for_rent,2024-08-16
R281,Land,Duhok,Malta,3725,0,91188,for_rent,2024-08-28
R282,House,Zakho,New Zakho,240,5,193440,for_sale,2024-05-24
R283,House,Zakho,City Centre,312,2,473304,for_sale,2024-05-19
R284,House,Zakho,Khabat,261,2,1881,for_rent,2025-01-01
R285,Shop,Sulaymaniyah,Salim Street,44,0,35948,for_sale,2025-05-24
R286,Apartment,Duhok,Industrial Zone,76,3,172824,for_sale,2024-09-19
R287,House,Duhok,Gir Area,186,4,3850,for_rent,2024-07-13
R288,Shop,Halabja,Bazaar Area,87,0,80649,for_sale,2024-09-01
R289,Apartment,Halabja,Memorial District,110,4,1896,for_rent,2025-12-26
R290,Apartment,Erbil,Koya Road,177,1,1033,for_rent,2025-10-25
R291,Apartment,Erbil,Gulan Street,128,2,1463,for_rent,2025-07-12
R292,Shop,Zakho,New Zakho,47,0,24205,for_sale,2025-07-19
R293,Apartment,Duhok,Gir Area,116,3,234668,for_sale,2025-08-07
R294,Villa,Erbil,Koya Road,459,7,8055,for_rent,2024-03-10
R295,House,Halabja,Khurmal,292,4,1874,for_rent,2024-07-10
R296,Land,Zakho,Darkar,2390,0,26911,for_rent,2025-04-28
R297,House,Erbil,Empire World,179,5,303584,for_sale,2024-10-05
R298,Apartment,Zakho,Mahabad,116,2,1517,for_rent,2025-01-20
R299,Apartment,Zakho,Kashan,178,3,2091,for_rent,2025-07-04
R300,Villa,Halabja,Sirwan,493,7,712385,for_sale,2025-08-03
R301,Apartment,Halabja,Central Park,160,4,125120,for_sale,2025-03-08
R302,Office,Duhok,Gir Area,175,0,147700,for_sale,2024-04-13
R303,Land,Erbil,Erbil Tower,2006,0,1965880,for_sale,2025-04-05
R304,Land,Sulaymaniyah,Sarchinar,2807,0,1964900,for_sale,2025-01-13
R305,Villa,Sulaymaniyah,Italian Village,523,5,5444,for_rent,2025-01-08
R306,House,Zakho,Mahabad,240,2,471600,for_sale,2025-07-23
R307,Land,Halabja,Bazaar Area,2221,0,50438,for_rent,2024-04-04
R308,House,Duhok,Industrial Zone,279,5,4941,for_rent,2025-09-26
R309,House,Erbil,Ainkawa,169,4,2251,for_rent,2025-09-02
R310,House,Halabja,Bakrajo,256,5,605440,for_sale,2025-02-04
R311,Shop,Zakho,Rizgary,115,0,240465,for_sale,2024-08-13
R312,Office,Zakho,Batifa Road,260,0,219700,for_sale,2024-10-09
R313,Villa,Duhok,Gir Area,537,7,9435,for_rent,2025-06-23
R314,Apartment,Zakho,Batifa Road,109,2,2222,for_rent,2024-07-24
R315,Land,Erbil,North Ring Road,3075,0,3711525,for_sale,2024-04-26
R316,Office,Erbil,Empire World,339,0,375612,for_sale,2025-04-12
R317,Villa,Halabja,Bakrajo,337,7,589413,for_sale,2025-07-24
R318,Villa,Sulaymaniyah,Azadi,517,5,930083,for_sale,2025-12-13
R319,House,Zakho,Mishko,254,3,2057,for_rent,2025-10-05
R320,Apartment,Zakho,Batifa Road,165,4,253605,for_sale,2024-10-23
R321,Villa,Duhok,Nizarke,313,6,2062,for_rent,2025-11-09
R322,House,Sulaymaniyah,Malik Mahmood,173,2,427483,for_sale,2024-03-30
R323,Apartment,Zakho,Batifa Road,176,1,1643,for_rent,2025-05-19
R324,Villa,Duhok,Industrial Zone,299,7,5686,for_rent,2024-03-19
R325,Office,Duhok,Nizarke,297,0,588654,for_sale,2024-03-31
R326,House,Sulaymaniyah,Bakhtiary,265,2,3937,for_rent,2025-11-03
R327,House,Duhok,Shindokha,289,3,6519,for_rent,2025-01-27
R328,Apartment,Halabja,Kani Ashqan,129,1,300828,for_sale,2025-06-15
R329,Office,Erbil,Ankawa,151,0,135900,for_sale,2025-08-31
